Task,Module,Status,Deadline,Week,Priority,Notes
Finalize app ideas,MAD,To Do,2025-04-07,Week 1,High,"Choose UI layout and required Firebase services"
Setup Laravel project,SSP,To Do,2025-04-07,Week 1,High,"Install Laravel and DB connection"
Start DDS2 research,DDS2,To Do,2025-04-07,Week 1,Medium,"Focus on cloud architecture"
Authentication (Login/Register),MAD,To Do,2025-04-14,Week 2,High,"Use Firebase Auth"
Basic UI Screens,MAD,To Do,2025-04-14,Week 2,Medium,"Design Feed and Profile screens"
CRUD Operations,SSP,To Do,2025-04-14,Week 2,High,"Posts, Profiles, and Roles"
DDS2 Section 1 & 2 draft,DDS2,To Do,2025-04-14,Week 2,Medium,"Initial write-up"
File Upload System (SSP),SSP,To Do,2025-04-21,Week 3,High,"Profile image and post upload"
Post to Feed (MAD),MAD,To Do,2025-04-21,Week 3,High,"Use Firestore"
Cloud Security explanation,DDS2,To Do,2025-04-21,Week 3,Medium,"Talk about encryption and access control"
Messaging system,SSP,To Do,2025-04-28,Week 4,High,"Chat between seller & client"
Comment/Reply system,MAD,To Do,2025-04-28,Week 4,High,"Use nested Firestore docs"
Complete DDS2 write-up,DDS2,To Do,2025-04-28,Week 4,High,"Finish all sections"
Laravel Testing & Docs,SSP,To Do,2025-05-05,Week 5,Medium,"Test routes and finalize user guide"
Firebase Testing & Docs,MAD,To Do,2025-05-05,Week 5,Medium,"Test app features and write summary"
Prepare screenshots & videos,All,To Do,2025-05-12,Week 6,High,"Take all needed proof"
Final Review & Submission,All,To Do,2025-05-19,Week 7,High,"Double-check everything"
Prepare for viva,All,To Do,2025-05-20,Week 7,High,"Practice demo flow"
